"team1","team2","team1_score","team2_score","toss_winner","toss_choice","winner","margin","man_of_the_match","stadium","place","Home_Ground"
"Chennai Super Kings","Kolkata Knight Riders",131,133,"Kolkata Knight Riders","Field","Kolkata Knight Riders","6 wickets","Umesh Yadav","Wankhede Stadium","Mumbai","Neutral"
"Mumbai Indians","Delhi Capitals",177,179,"Delhi Capitals","Field","Delhi Capitals","4 wickets","Kuldeep Yadav","Brabourne Stadium","Mumbai","Neutral"
"Royal Challengers Bangalore","Punjab Kings",205,208,"Punjab Kings","Field","Punjab Kings","5 wickets","Odean Smith","Dr DY Patil Sports Academy","Mumbai","Neutral"
"Lucknow Super Giants","Gujarat Titans",158,161,"Gujarat Titans","Field","Gujurat Titans","5 wickets","Mohammed Shami","Wankhede Stadium","Mumbai","Neutral"
"Rajasthan Royals","Sunrisers Hyderabad",210,149,"Sunrisers Hyderabad","Field","Rajasthan Royals","61 runs","Sanju Samson","Maharashtra Cricket Association Stadium","Pune","Neutral"
"Kolkata Knight Riders","Royal Challengers Bangalore",128,132,"Royal Challengers Bangalore","Field","Royal Challengers Bangalore","3 wickets","Wanindu Hasaranga de Silva","Dr DY Patil Sports Academy","Mumbai","Neutral"
"Chennai Super Kings","Lucknow Super Giants",210,211,"Lucknow Super Giants","Field","Chennai Super Kings","6 wickets","Evin Lewis","Brabourne Stadium","Mumbai","Neutral"
"Punjab Kings","Kolkata Knight Riders",137,141,"Kolkata Knight Riders","Field","Kolkata Knight Riders","6 wickets","Umesh Yadav","Wankhede Stadium","Mumbai","Neutral"
"Rajasthan Royals","Mumbai Indians",193,170,"Mumbai Indians","Field","Rajasthan Royals","23 runs","Jos Buttler","Dr DY Patil Sports Academy","Mumbai","Neutral"
"Gujarat Titans","Delhi Capitals",171,157,"Delhi Capitals","Field","Gujurat Titans","14 runs","Lockie Ferguson","Maharashtra Cricket Association Stadium","Pune","Neutral"
"Punjab Kings","Chennai Super Kings",180,126,"Chennai Super Kings","Field","Punjab Kings","54 runs","Liam Livingstone","Brabourne Stadium","Mumbai","Neutral"
"Lucknow Super Giants","Sunrisers Hyderabad",169,157,"Sunrisers Hyderabad","Field","Lucknow Super Giants","12 runs","Avesh Khan","Dr DY Patil Sports Academy","Mumbai","Neutral"
"Rajasthan Royals","Royal Challengers Bangalore",169,173,"Royal Challengers Bangalore","Field","Royal Challengers Bangalore","4 wickets","Dinesh Karthik","Wankhede Stadium","Mumbai","Neutral"
"Mumbai Indians","Kolkata Knight Riders",161,162,"Kolkata Knight Riders","Field","Kolkata Knight Riders","5 wickets","Pat Cummins","Maharashtra Cricket Association Stadium","Pune","Neutral"
"Delhi Capitals","Lucknow Super Giants",149,155,"Lucknow Super Giants","Field","Lucknow Super Giants","6 wickets","Quinton de Kock","Dr DY Patil Sports Academy","Mumbai","Neutral"
"Punjab Kings","Gujarat Titans",189,190,"Gujarat Titans","Field","Gujurat Titans","6 wickets","Shubman Gill","Brabourne Stadium","Mumbai","Neutral"
"Chennai Super Kings","Sunrisers Hyderabad",154,155,"Sunrisers Hyderabad","Field","Sunrisers Hyderabad","8 wickets","Abhishek Sharma","Dr DY Patil Sports Academy","Mumbai","Neutral"
"Mumbai Indians","Royal Challengers Bangalore",151,152,"Royal Challengers Bangalore","Field","Royal Challengers Bangalore","7 wickets","Anuj Rawat","Maharashtra Cricket Association Stadium","Pune","Neutral"
"Delhi Capitals","Kolkata Knight Riders",215,171,"Kolkata Knight Riders","Field","Delhi Capitals","44 runs","Kuldeep Yadav","Brabourne Stadium","Mumbai","Neutral"
"Rajasthan Royals","Lucknow Super Giants",165,162,"Lucknow Super Giants","Field","Rajasthan Royals","3 runs","Yuzvendra Chahal","Wankhede Stadium","Mumbai","Neutral"
"Gujarat Titans","Sunrisers Hyderabad",162,168,"Sunrisers Hyderabad","Field","Sunrisers Hyderabad","8 wickets","Kane Williamson","Dr DY Patil Sports Academy","Mumbai","Neutral"
"Chennai Super Kings","Royal Challengers Bangalore",216,193,"Royal Challengers Bangalore","Field","Chennai Super Kings","23 runs","Shivam Dube","Dr DY Patil Sports Academy","Mumbai","Neutral"
"Punjab Kings","Mumbai Indians",198,186,"Mumbai Indians","Field","Punjab Kings","12 runs","Mayank Agarwal","Maharashtra Cricket Association Stadium","Pune","Neutral"
"Gujarat Titans","Rajasthan Royals",192,155,"Rajasthan Royals","Field","Gujurat Titans","37 runs","Hardik Pandya","Dr DY Patil Sports Academy","Mumbai","Neutral"
"Kolkata Knight Riders","Sunrisers Hyderabad",175,176,"Sunrisers Hyderabad","Field","Sunrisers Hyderabad","7 wickets","Rahul Tripathi","Brabourne Stadium","Mumbai","Neutral"
"Lucknow Super Giants","Mumbai Indians",199,181,"Mumbai Indians","Field","Lucknow Super Giants","18 runs","KL Rahul","Brabourne Stadium","Mumbai","Neutral"
"Royal Challengers Bangalore","Delhi Capitals",189,173,"Delhi Capitals","Field","Royal Challengers Bangalore","16 runs","Dinesh Karthik","Wankhede Stadium","Mumbai","Neutral"
"Punjab Kings","Sunrisers Hyderabad",151,152,"Sunrisers Hyderabad","Field","Sunrisers Hyderabad","7 wickets","Umran Malik","Dr DY Patil Sports Academy","Mumbai","Neutral"
"Chennai Super Kings","Gujarat Titans",169,170,"Gujarat Titans","Field","Gujurat Titans","3 wickets","David Miller","Maharashtra Cricket Association Stadium","Pune","Neutral"
"Rajasthan Royals","Kolkata Knight Riders",217,210,"Kolkata Knight Riders","Field","Rajasthan Royals","7 runs","Yuzvendra Chahal","Brabourne Stadium","Mumbai","Neutral"
"Royal Challengers Bangalore","Lucknow Super Giants",181,163,"Lucknow Super Giants","Field","Royal Challengers Bangalore","18 runs","Faf du Plessis","Dr DY Patil Sports Academy","Mumbai","Neutral"
"Punjab Kings","Delhi Capitals",115,119,"Delhi Capitals","Field","Delhi Capitals","9 wickets","Kuldeep Yadav","Brabourne Stadium","Mumbai","Neutral"
"Mumbai Indians","Chennai Super Kings",155,156,"Chennai Super Kings","Field","Chennai Super Kings","3 wickets","Mukesh Choudhary","Dr DY Patil Sports Academy","Mumbai","Neutral"
"Rajasthan Royals","Delhi Capitals",222,207,"Delhi Capitals","Field","Rajasthan Royals","15 runs","Jos Buttler","Wankhede Stadium","Mumbai","Neutral"
"Gujarat Titans","Kolkata Knight Riders",156,148,"Gujarat Titans","Bat","Gujurat Titans","8 runs","Rashid Khan","Dr DY Patil Sports Academy","Mumbai","Neutral"
"Royal Challengers Bangalore","Sunrisers Hyderabad",68,72,"Sunrisers Hyderabad","Field","Sunrisers Hyderabad","9 wickets","Marco Jansen","Brabourne Stadium","Mumbai","Neutral"
"Lucknow Super Giants","Mumbai Indians",168,132,"Mumbai Indians","Field","Lucknow Super Giants","36 runs","KL Rahul","Wankhede Stadium","Mumbai","Mumbai Indians"
"Punjab Kings","Chennai Super Kings",187,176,"Chennai Super Kings","Field","Punjab Kings","11 runs","Shikhar Dhawan","Wankhede Stadium","Mumbai","Neutral"
"Rajasthan Royals","Royal Challengers Bangalore",144,115,"Royal Challengers Bangalore","Field","Rajasthan Royals","29 runs","Riyan Parag","Maharashtra Cricket Association Stadium","Pune","Neutral"
"Sunrisers Hyderabad","Gujarat Titans",195,199,"Gujarat Titans","Field","Gujurat Titans","5 wickets","Umran Malik","Wankhede Stadium","Mumbai","Neutral"
"Kolkata Knight Riders","Delhi Capitals",146,150,"Delhi Capitals","Field","Delhi Capitals","4 wickets","Kuldeep Yadav","Wankhede Stadium","Mumbai","Neutral"
"Lucknow Super Giants","Punjab Kings",153,133,"Punjab Kings","Field","Lucknow Super Giants","20 runs","Krunal Pandya","Maharashtra Cricket Association Stadium","Pune","Neutral"
"Royal Challengers Bangalore","Gujarat Titans",170,174,"Royal Challengers Bangalore","Bat","Gujurat Titans","6 wickets","Rahul Tewatia","Brabourne Stadium","Mumbai","Neutral"
"Rajasthan Royals","Mumbai Indians",158,161,"Mumbai Indians","Field","Mumbai Indians","5 wickets","Suryakumar Yadav","Dr DY Patil Sports Academy","Mumbai","Neutral"
"Lucknow Super Giants","Delhi Capitals",195,189,"Lucknow Super Giants","Bat","Lucknow Super Giants","6 runs","Mohsin Khan","Wankhede Stadium","Mumbai","Neutral"
"Chennai Super Kings","Sunrisers Hyderabad",202,189,"Sunrisers Hyderabad","Field","Chennai Super Kings","13 runs","Ruturaj Gaikwad","Maharashtra Cricket Association Stadium","Pune","Neutral"
"Rajasthan Royals","Kolkata Knight Riders",152,158,"Kolkata Knight Riders","Field","Kolkata Knight Riders","7 wickets","Rinku Singh","Wankhede Stadium","Mumbai","Neutral"
"Gujarat Titans","Punjab Kings",143,145,"Gujarat Titans","Bat","Punjab Kings","8 wickets","Kagiso Rabada","Dr DY Patil Sports Academy","Mumbai","Neutral"
"Royal Challengers Bangalore","Chennai Super Kings",173,160,"Chennai Super Kings","Field","Royal Challengers Bangalore","13 runs","Harshal Patel","Maharashtra Cricket Association Stadium","Pune","Neutral"
"Delhi Capitals","Sunrisers Hyderabad",207,186,"Sunrisers Hyderabad","Field","Delhi Capitals","21 runs","David Warner","Brabourne Stadium","Mumbai","Neutral"
"Mumbai Indians","Gujarat Titans",177,172,"Gujarat Titans","Field","Mumbai Indians","5 runs","Tim David","Brabourne Stadium","Mumbai","Neutral"
"Punjab Kings","Rajasthan Royals",189,190,"Punjab Kings","Bat","Rajasthan Royals","6 wickets","Yashasvi Jaiswal","Wankhede Stadium","Mumbai","Neutral"
"Lucknow Super Giants","Kolkata Knight Riders",176,101,"Kolkata Knight Riders","Field","Lucknow Super Giants","75 runs","Avesh Khan","Maharashtra Cricket Association Stadium","Pune","Neutral"
"Royal Challengers Bangalore","Sunrisers Hyderabad",192,125,"Royal Challengers Bangalore","Bat","Royal Challengers Bangalore","67 runs","Wanindu Hasaranga de Silva","Wankhede Stadium","Mumbai","Neutral"
"Chennai Super Kings","Delhi Capitals",208,117,"Delhi Capitals","Field","Chennai Super Kings","91 runs","Devon Conway","Dr DY Patil Sports Academy","Mumbai","Neutral"
"Kolkata Knight Riders","Mumbai Indians",165,113,"Mumbai Indians","Field","Kolkata Knight Riders","52 runs","Jasprit Bumrah","Dr DY Patil Sports Academy","Mumbai","Neutral"
"Gujarat Titans","Lucknow Super Giants",144,82,"Gujarat Titans","Bat","Gujurat Titans","62 runs","Shubman Gill","Maharashtra Cricket Association Stadium","Pune","Neutral"
"Rajasthan Royals","Delhi Capitals",160,161,"Delhi Capitals","Field","Delhi Capitals","8 wickets","Mitchell Marsh","Dr DY Patil Sports Academy","Mumbai","Neutral"
"Chennai Super Kings","Mumbai Indians",97,103,"Mumbai Indians","Field","Mumbai Indians","5 wickets","Daniel Sams","Wankhede Stadium","Mumbai","Mumbai Indians"
"Punjab Kings","Royal Challengers Bangalore",209,155,"Royal Challengers Bangalore","Field","Punjab Kings","54 runs","Jonny Bairstow","Brabourne Stadium","Mumbai","Neutral"
"Kolkata Knight Riders","Sunrisers Hyderabad",177,123,"Kolkata Knight Riders","Bat","Kolkata Knight Riders","54 runs","Andre Russell","Maharashtra Cricket Association Stadium","Pune","Neutral"
"Chennai Super Kings","Gujarat Titans",133,137,"Chennai Super Kings","Bat","Gujurat Titans","7 wickets","Wriddhiman Saha","Wankhede Stadium","Mumbai","Neutral"
"Rajasthan Royals","Lucknow Super Giants",178,154,"Rajasthan Royals","Bat","Rajasthan Royals","24 runs","Trent Boult","Brabourne Stadium","Mumbai","Neutral"
"Delhi Capitals","Punjab Kings",159,142,"Punjab Kings","Field","Delhi Capitals","17 runs","Shardul Thakur","Dr DY Patil Sports Academy","Mumbai","Neutral"
"Sunrisers Hyderabad","Mumbai Indians",193,190,"Mumbai Indians","Field","Sunrisers Hyderabad","3 runs","Rahul Tripathi","Wankhede Stadium","Mumbai","Mumbai Indians"
"Lucknow Super Giants","Kolkata Knight Riders",210,208,"Lucknow Super Giants","Bat","Lucknow Super Giants","2 runs","Quinton de Kock","Dr DY Patil Sports Academy","Mumbai","Neutral"
"Gujarat Titans","Royal Challengers Bangalore",168,170,"Gujarat Titans","Bat","Royal Challengers Bangalore","8 wickets","Virat Kohli","Wankhede Stadium","Mumbai","Neutral"
"Chennai Super Kings","Rajasthan Royals",150,151,"Chennai Super Kings","Bat","Rajasthan Royals","5 wickets","Ravichandran Ashwin","Brabourne Stadium","Mumbai","Neutral"
"Delhi Capitals","Mumbai Indians",159,160,"Mumbai Indians","Field","Mumbai Indians","5 wickets","Jasprit Bumrah","Wankhede Stadium","Mumbai","Mumbai Indians"
"Sunrisers Hyderabad","Punjab Kings",157,160,"Sunrisers Hyderabad","Bat","Punjab Kings","5 wickets","Harpreet Brar","Wankhede Stadium","Mumbai","Neutral"
